struggle_percent,machine_count,incorrect_percent,mean_employee_seconds,p10_employee_seconds,p90_employee_seconds,mean_employee_minutes
0,1,20,1087.169,944.284,1224.558,18.12
5,1,20,1166.33,1033.766,1300.593,19.44
10,1,20,1235.725,1087.616,1389.464,20.6
15,1,20,1282.706,1131.531,1435.679,21.38
20,1,20,1369.596,1205.746,1515.112,22.83
25,1,20,1433.434,1282.488,1591.366,23.89
30,1,20,1508.701,1351.492,1663.478,25.15
35,1,20,1567.747,1409.715,1734.848,26.13
40,1,20,1639.752,1491.529,1787.419,27.33
45,1,20,1717.379,1569.509,1862.948,28.62
50,1,20,1776.537,1629.02,1933.359,29.61
55,1,20,1849.602,1693.533,1993.321,30.83
60,1,20,1902.968,1762.343,2031.884,31.72
65,1,20,1971.71,1850.706,2112.885,32.86
70,1,20,2045.463,1908.642,2163.825,34.09
75,1,20,2112.39,1988.054,2237.056,35.21
80,1,20,2182.127,2061.797,2304.351,36.37
85,1,20,2231.823,2113.821,2337.171,37.2
90,1,20,2263.088,2158.761,2371.939,37.72
95,1,20,2279.29,2165.51,2382.636,37.99
100,1,20,2287.844,2182.369,2390.949,38.13
0,2,20,953.716,829.909,1079.801,15.9
5,2,20,993.475,860.975,1118.881,16.56
10,2,20,1043.344,911.887,1183.382,17.39
15,2,20,1095.936,958.006,1236.951,18.27
20,2,20,1130.938,992.574,1269.162,18.85
25,2,20,1169.82,1010.668,1331.292,19.5
30,2,20,1225.183,1088.315,1360.713,20.42
35,2,20,1270.378,1131.717,1428.784,21.17
40,2,20,1312.962,1164.31,1463.462,21.88
45,2,20,1355.008,1207.964,1501.076,22.58
50,2,20,1400.681,1253.559,1536.902,23.34
55,2,20,1438.007,1295.668,1585.694,23.97
60,2,20,1480.465,1327.534,1635.319,24.67
65,2,20,1529.418,1365.279,1685.561,25.49
70,2,20,1559.156,1411.387,1708.578,25.99
75,2,20,1609.079,1455.299,1758.902,26.82
80,2,20,1654.028,1508.862,1802.509,27.57
85,2,20,1696.521,1547.671,1841.805,28.28
90,2,20,1713.977,1562.687,1860.56,28.57
95,2,20,1738.553,1586.263,1883.995,28.98
100,2,20,1740.298,1577.915,1885.914,29
